Date,Open,High,Low,Close,Volume,Symbol,Currency
,,,,,BTC-USD,,INR
2014-12-29,20202.605924331816,20365.77847019455,19859.602612351533,19882.686201579287,12302500,BTC,INR
2014-12-30,19908.628760912456,20041.68419400847,19695.611840484427,19782.449040421052,12528300,BTC,INR
2014-12-31,19705.107072468378,20293.19099309016,19660.55215394916,20293.19099309016,13942900,BTC,INR
2015-01-01,20196.376987007443,20196.376987007443,19790.980460937135,19806.485487396363,8036550,BTC,INR
2015-01-02,19795.771804555785,19906.699776386842,19763.374935599975,19855.837673091795,7860650,BTC,INR
2015-01-03,19844.11417274829,19863.27377683716,17716.03630785132,17716.03630785132,33054400,BTC,INR
2015-01-04,17720.069807477295,18103.533097384032,16236.769073777832,16651.682889380492,55629100,BTC,INR
2015-01-05,16773.98626201367,17612.861980305053,16773.98626201367,17368.16567669995,43962800,BTC,INR
2015-01-06,17393.311382234213,18213.032845937298,17272.020501542254,18126.638946281397,23245700,BTC,INR
2015-01-07,18185.342699157773,18991.19436937268,17994.766732911812,18710.415006492985,24866800,BTC,INR
2015-01-08,18610.804122825153,18610.804122825153,17854.05766678392,17928.340877972078,19982500,BTC,INR
2015-01-09,17696.377361780033,18243.53279557079,17580.4411806399,18199.287673407234,18718600,BTC,INR
2015-01-10,18004.704759665765,18056.343512358144,17168.90130153857,17220.914899441414,15264300,BTC,INR
2015-01-11,17209.134049969725,17524.35400978662,16609.463949678462,16648.380914921872,18200800,BTC,INR
2015-01-12,16593.670450743288,16971.312710362487,16534.690247778315,16696.544269496342,18880300,BTC,INR
2015-01-13,16596.611776984995,16651.41754892585,13649.126146165654,14018.740257458065,72843904,BTC,INR
2015-01-14,13875.382592345704,13875.382592345704,10628.988816295168,11037.57694621454,97638704,BTC,INR
2015-01-15,10983.181354393833,14222.312265983492,10983.181354393833,13028.794170764275,81773504,BTC,INR
2015-01-16,12974.466233792715,13751.494192565791,12397.38820733875,12914.083354148315,38421000,BTC,INR
2015-01-17,12897.762070199706,13139.602287928341,12093.552488327026,12365.676471544199,23469700,BTC,INR
2015-01-18,12414.702820764156,13571.77447086852,12070.65288228565,13053.217659853633,30085100,BTC,INR
2015-01-19,13082.229823134956,13407.44384278101,12825.312795995735,13291.945351859324,18658300,BTC,INR
2015-01-20,13123.161626999268,13267.024697566405,12645.220706648193,13025.034223664552,24051100,BTC,INR
2015-01-21,13031.031061165093,14042.67400672205,13020.797470786494,13987.746181610619,29924600,BTC,INR
2015-01-22,13992.351768320079,14589.230666912044,13937.692673018319,14366.840206319466,33544600,BTC,INR
2015-01-23,14384.179960960753,14465.982284856262,13871.62305915088,14344.880407156192,24621700,BTC,INR
2015-01-24,14333.854312597658,15289.239887514035,14168.895253225459,15266.879407627624,24782500,BTC,INR
2015-01-25,15236.388698610594,15712.048458830686,15023.136078202515,15628.521398466431,33582700,BTC,INR
2015-01-26,15608.834543366218,19006.38702154858,15608.834543366218,16800.265946844127,106794000,BTC,INR
2015-01-27,16792.394394032657,16934.58259766479,15408.391754405457,16196.598937632749,44399000,BTC,INR
2015-01-28,16170.542230364863,16366.04879732849,13941.30583259021,14363.082304194337,44352200,BTC,INR
2015-01-29,14316.133995768323,14644.851831794482,13540.90264042921,14326.256499152863,32213400,BTC,INR
2015-01-30,14384.379042000855,15007.220616088773,13955.947447034707,13992.159813353734,26605200,BTC,INR
2015-01-31,13993.148006247764,14429.61338313867,13367.031628800149,13438.405935022225,23348200,BTC,INR
2015-02-01,13401.513714622473,14310.347552977852,13101.679206381377,14025.962045095337,29128500,BTC,INR
2015-02-02,14045.386327052489,15017.99858249817,13807.752463761717,14773.295335561037,30612100,BTC,INR
2015-02-03,14657.560340165219,15182.43389883719,13856.886873356418,14028.799581195924,40783700,BTC,INR
2015-02-04,14017.862490735717,14174.793164184084,13623.656437259633,13977.320186451543,26594300,BTC,INR
2015-02-05,14083.35662363586,14809.59337060852,13282.889008621218,13430.486124335324,22516400,BTC,INR
2015-02-06,13391.308185934091,14230.073884828484,13348.65009396337,13721.147757244762,24435300,BTC,INR
2015-02-07,13743.803098188713,14217.048311897088,13742.197979858145,14059.937935584227,21604200,BTC,INR
2015-02-08,14056.171936120838,14163.896664643193,13647.746562601065,13791.89353605872,17145200,BTC,INR
2015-02-09,13841.853355467201,13878.28744136222,13447.148394570278,13638.676243225405,27791300,BTC,INR
2015-02-10,13686.120751186218,13780.86957163224,13378.577435504762,13658.597585429847,21115100,BTC,INR
2015-02-11,13698.531801278936,13927.577005933039,13595.169421316707,13664.430910438996,17201900,BTC,INR
2015-02-12,13674.632984795897,13861.218331048614,13575.196442364077,13834.082313361692,15206200,BTC,INR
2015-02-13,13799.811959285289,14936.901757033076,13755.857725045178,14636.496280346066,42744400,BTC,INR
2015-02-14,14642.77532114624,16152.26374943601,14642.77532114624,15997.646994346287,49732500,BTC,INR
2015-02-15,16009.209005114157,16513.034913126845,14155.114219786366,14599.069630294805,56552400,BTC,INR
2015-02-16,14575.352792910766,14866.828765019774,14215.16677090991,14514.40136804944,28153700,BTC,INR
2015-02-17,14515.580502148252,15283.763972959134,14446.67830696038,15149.13169868378,27363100,BTC,INR
2015-02-18,15141.663165146485,15170.918432494622,14431.1017390918,14678.680646813475,25200800,BTC,INR
2015-02-19,14674.914877552188,15063.621864590328,14624.137821638666,14915.327552831091,18270500,BTC,INR
2015-02-20,14935.20407508942,15361.033762223204,14876.022303664242,15154.522190730902,23876700,BTC,INR
2015-02-21,15152.843234865111,15871.968489062507,15117.533939301153,15201.456121399533,12284200,BTC,INR
2015-02-22,15202.078378488775,15316.958799339596,14537.347500092466,14669.51073217194,19527000,BTC,INR
2015-02-23,14655.525602286216,14911.009024893574,14433.577251266397,14835.432401423457,16400000,BTC,INR
2015-02-24,14858.745069104189,14914.885475810152,14697.348633312797,14842.394065370028,14200400,BTC,INR
2015-02-25,14866.841740275268,14894.846401124263,14657.73881654907,14778.47099180054,11496200,BTC,INR
2015-02-26,14685.701635707637,14708.781824277947,14495.120365791256,14629.331025014166,13619400,BTC,INR
2015-02-27,14600.869412875618,15849.350711871637,14600.869412875618,15674.894903469365,44013900,BTC,INR
2015-02-28,15655.874753892827,15728.250262868532,15406.326810741797,15701.757743406342,13949300,BTC,INR
2015-03-01,15702.99308728025,16158.552289367071,15187.346796858183,16068.514472555718,25213700,BTC,INR
2015-03-02,16051.269330121577,17034.232904743403,15925.254292786121,16995.33226704225,40465700,BTC,INR
2015-03-03,17025.622094985098,17691.057855483145,16599.434987828135,17437.635520186275,50461300,BTC,INR
2015-03-04,17430.647188906558,17568.800224211882,16573.672801997862,16880.63636990881,41383000,BTC,INR
2015-03-05,16993.004330059513,17549.262034200132,16496.433401571354,17207.27093709656,41302400,BTC,INR
2015-03-06,17209.29139979859,17334.676670984132,16860.547773937695,17029.642002313165,28918900,BTC,INR
2015-03-07,17002.854854420293,17350.03778638318,16867.91485893121,17250.56498848833,17825900,BTC,INR
2015-03-08,17261.306907295482,17350.287421182496,17019.776663717348,17131.487283606082,22067900,BTC,INR
2015-03-09,17162.83432465978,18280.0545925803,17105.43962204293,18086.825379254064,59178200,BTC,INR
2015-03-10,18166.521192702698,18804.65811054944,18159.063855413,18285.475189982913,67770800,BTC,INR
2015-03-11,18282.407306992332,18650.28160391329,18218.62829189538,18586.81646003842,33963900,BTC,INR
2015-03-12,18583.45108991838,18643.75855401857,18350.37777494674,18472.185829540715,32585200,BTC,INR
2015-03-13,18392.66980268585,18416.4314995578,17843.54960260971,17843.54960260971,31421500,BTC,INR
2015-03-14,17787.57955635956,17906.397582803038,17570.834941562494,17627.67904268112,22612300,BTC,INR
2015-03-15,17598.911568691256,17918.09045218979,17572.08495452942,17909.58654718124,11970100,BTC,INR
2015-03-16,18019.866967034755,18551.408544030273,18019.866967034755,18329.443313908414,21516100,BTC,INR
2015-03-17,18246.169957323,18357.3058000952,17855.55905801244,17926.574169807136,21497200,BTC,INR
2015-03-18,17849.754722518264,17866.599206464598,15645.859896398615,16048.41917660716,57008000,BTC,INR
2015-03-19,16041.885349147953,16566.24855167675,15587.737044770389,16358.359877353767,52732000,BTC,INR
2015-03-20,16305.313797349107,16548.497533218004,16193.218895662576,16354.862771940418,18456700,BTC,INR
2015-03-21,16348.303277132101,16382.794016112573,15973.77900553588,16247.142138012685,17130100,BTC,INR
2015-03-22,16240.393867045641,16854.60284166969,16219.962184815668,16742.944604027085,18438100,BTC,INR
2015-03-23,16717.45096671814,17304.16447432898,16333.672898346558,16645.37557803467,22811900,BTC,INR
2015-03-24,16587.220298856264,16613.726977659855,15192.05638472992,15281.657656026306,40073700,BTC,INR
2015-03-25,15412.06119339331,15519.054941627197,14729.681103117066,15332.657123663697,35866900,BTC,INR
2015-03-26,15382.892016427126,15887.46024996601,15297.25647471298,15523.806086620725,25730000,BTC,INR
2015-03-27,15617.152497006173,16135.17824209237,15406.487064223911,15520.585123844503,17274900,BTC,INR
2015-03-28,15517.192304235066,15971.445695430448,15517.192304235066,15883.0454401701,16040900,BTC,INR
2015-03-29,15879.401442618402,15904.470343428546,15132.364688020314,15249.414567809727,21699400,BTC,INR
2015-03-30,15183.580399396365,15581.363752598874,14954.463346350707,15474.087799971923,23009600,BTC,INR
2015-03-31,15468.10147847602,15547.863022079166,15173.371777714756,15266.19767919043,22672000,BTC,INR
2015-04-01,15216.558627112303,15423.289508382322,15025.71512929443,15406.52936937939,22877200,BTC,INR
2015-04-02,15361.276005089168,15819.585491779726,15257.267012207883,15729.06782427337,26272600,BTC,INR
